panel,element,description,notes
A,Source code,Included in the accompanying review-safe package,Review-safe materials support figure/table reproduction and aggregate-result inspection.
A,Frozen protocols,Included in the accompanying review-safe package,Review-safe materials support figure/table reproduction and aggregate-result inspection.
A,Aggregate metrics and summary tables,Included in the accompanying review-safe package,Review-safe materials support figure/table reproduction and aggregate-result inspection.
A,Figure and table source data,Included in the accompanying review-safe package,Review-safe materials support figure/table reproduction and aggregate-result inspection.
A,Manifests and checksums,Included in the accompanying review-safe package,Review-safe materials support figure/table reproduction and aggregate-result inspection.
A,Supplementary audit summaries,Included in the accompanying review-safe package,Review-safe materials support figure/table reproduction and aggregate-result inspection.
B,Raw held-out labels,Not publicly redistributed,Third-party source records remain governed by their original licenses and access conditions.
B,Target-attributable held-out records,Not publicly redistributed,Third-party source records remain governed by their original licenses and access conditions.
B,Score matrices,Not publicly redistributed,Third-party source records remain governed by their original licenses and access conditions.
B,Model checkpoints,Not publicly redistributed,Third-party source records remain governed by their original licenses and access conditions.
B,Restricted third-party source records,Not publicly redistributed,Third-party source records remain governed by their original licenses and access conditions.
B,Controller-held materials,Not included in the public package,Third-party source records remain governed by their original licenses and access conditions.
C,Reproduce tables / figures,Public aggregates + source plotting data,Different reproducibility goals require different access routes; raw sealed-test materials are not included in the public package.
C,Re-run benchmark,Licensed sources + frozen protocols + scripts,Different reproducibility goals require different access routes; raw sealed-test materials are not included in the public package.
C,Audit sealed test,Manifests / hashes; restricted review only if approved,Different reproducibility goals require different access routes; raw sealed-test materials are not included in the public package.
global,bottom footnote,"No raw held-out labels, score matrices, checkpoints, or controller-held materials are included in the public release package.",Public release package boundary statement.
