split_blocking_group_id,benchmark_positive_herb_ids,benchmark_context_only_herb_ids,benchmark_ineligible_herb_ids,positive_member_count,context_only_member_count,mixed_positive_context_group,compound_context_present_member_count,future_context_closure_rule,training_graph_implication,validation_graph_implication,test_graph_implication
HBG_005628e0e7c1,,H0056,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_008fb938cf34,H0929,,,1,0,False,1,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_00b7bc63c9b2,,H0233,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_00cf0ff0d299,H0614,,,1,0,False,1,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_00e1946398f7,,H0227,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_01280f0541a1,H0603,,,1,0,False,1,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_013c8034d077,,H0057,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_014b20d392a8,,H0482,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_01974337c0b6,,H0291,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_01a172d77d34,,H0351,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_01a40ac6bac4,,H0198,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_01b5eececfe9,,H0247,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_0226177b6285,,H0333,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_02844fcf48ab,H0871,,,1,0,False,1,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_02b0c6b80aab,,H0339,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_02f6e3c66dff,,H0471,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_02fac5b87e7e,H1126,,,1,0,False,1,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_0334116fede0,H0683,,,1,0,False,1,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_0337cf72ccba,,H0370,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_03c79ad1832e,,H0452,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_03d1fa53466f,,H0379,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_03d225e78075,H0809,,,1,0,False,1,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_03eceaf747d7,H1180,,,1,0,False,1,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_040ab2801ceb,,H0345,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_040d5c2eb105,,H0130,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_045a2b72d60d,H1089,,,1,0,False,1,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_04c124fe2872,,H0125,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_04cf9df84c0b,H0726;H0983;H0984,,,3,0,False,3,ALL_GROUP_HERBS_INHERIT_ONE_FUTURE_GROUP_PLACEMENT,"If placed on the train side, positive herbs provide supervision and context-only members may remain as train-side context; nodes, labels, and features remain distinct.","If placed on validation, every group herb and every incident herb-context edge is excluded from the training graph; only validation labels support model selection.","If placed on test, every group herb and every incident herb-context edge is excluded from training; labels were originally transferred to a sealed payload and never tuned the model; in v1.2 they are public but remain ineligible for tuning."
HBG_0530df36afaf,,H0086,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_05638e08eab1,,H0082,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
HBG_0592e812a8ef,,H0431,,0,1,False,1,CONTEXT_ONLY_EXCLUDED_FROM_FORMAL_SPLIT,Excluded from the formal training graph by default.,Not included in formal validation ratio or evaluation.,Not included in formal test ratio or sealed payload.
